asset_type,factor,mode,tickers,num_tickers
Equity,momentum,long_short,"AAPL,AMZN,BABA,DIS,GOOGL,JNJ,KO,META,MSFT,NSRGY,NVDA,PG,RIO,SONY,TM,UNH,V",17
Equity,momentum,long_only,"AAPL,AMZN,BABA,DIS,GOOGL,JNJ,KO,META,MSFT,NSRGY,NVDA,PG,RIO,SONY,TM,UNH,V",17
Equity,value,long_short,"BABA,KO,META,MSFT,NVDA,RIO,SONY,UNH,V",9
Equity,value,long_only,"KO,NVDA,RIO,SONY",4
Equity,quality,long_short,"AAPL,AMZN,BABA,DIS,GOOGL,JNJ,KO,META,MSFT,NSRGY,NVDA,PG,RIO,SONY,TM,UNH,V",17
Equity,quality,long_only,"AAPL,AMZN,BABA,DIS,GOOGL,JNJ,KO,META,MSFT,NSRGY,NVDA,PG,RIO,SONY,TM,UNH,V",17
Equity,multi_factor_score,long_short,"AAPL,AMZN,BABA,DIS,GOOGL,JNJ,KO,META,MSFT,NSRGY,NVDA,PG,RIO,SONY,TM,UNH,V",17
Equity,multi_factor_score,long_only,"AAPL,AMZN,BABA,DIS,GOOGL,KO,META,MSFT,NSRGY,NVDA,RIO,SONY,TM,UNH",14
Crypto,momentum,long_short,"ADA-USD,BNB-USD,BTC-USD,DOGE-USD,ETH-USD,LTC-USD,SOL-USD,XRP-USD",8
Crypto,momentum,long_only,"ADA-USD,BNB-USD,BTC-USD,DOGE-USD,ETH-USD,LTC-USD,SOL-USD,XRP-USD",8
Crypto,quality,long_short,"ADA-USD,BNB-USD,BTC-USD,DOGE-USD,ETH-USD,LTC-USD,SOL-USD,XRP-USD",8
Crypto,quality,long_only,"ADA-USD,BNB-USD,BTC-USD,DOGE-USD,ETH-USD,LTC-USD,SOL-USD,XRP-USD",8
Crypto,multi_factor_score,long_short,"ADA-USD,BNB-USD,BTC-USD,DOGE-USD,ETH-USD,LTC-USD,SOL-USD,XRP-USD",8
Crypto,multi_factor_score,long_only,"ADA-USD,BNB-USD,BTC-USD,DOGE-USD,ETH-USD,LTC-USD,SOL-USD,XRP-USD",8
